benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.subfile_stripe_size,vars.subfile_number,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Subfiling,12,2,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0012/repetition_002,134217728,8,pdi_sub8.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0012/repetition_002/summary.txt,4668814,SUCCEEDED,2026-04-24 00:03:38,2026-04-24 00:04:38,Submitted batch job 4668814,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,21.3736,35.5042,2.99
Gys_io Benchmark - Subfiling,9,3,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0009/repetition_003,134217728,2,pdi_sub2.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0009/repetition_003/summary.txt,4668815,SUCCEEDED,2026-04-24 00:04:38,2026-04-24 00:06:08,Submitted batch job 4668815,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,68,47.124,60.2095,1.36
Gys_io Benchmark - Subfiling,1,2,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0001/repetition_002,33554432,2,pdi_sub2.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0001/repetition_002/summary.txt,4668819,SUCCEEDED,2026-04-24 00:06:08,2026-04-24 00:08:09,Submitted batch job 4668819,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,89,68.2639,81.6508,0.94
Gys_io Benchmark - Subfiling,2,2,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0002/repetition_002,33554432,4,pdi_sub4.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0002/repetition_002/summary.txt,4668820,SUCCEEDED,2026-04-24 00:08:09,2026-04-24 00:09:09,Submitted batch job 4668820,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,46,25.0155,38.1526,2.56
Gys_io Benchmark - Subfiling,18,2,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0018/repetition_002,536870912,4,pdi_sub4.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0018/repetition_002/summary.txt,4668821,SUCCEEDED,2026-04-24 00:09:09,2026-04-24 00:10:09,Submitted batch job 4668821,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,39,17.5409,30.6576,3.65
Gys_io Benchmark - Subfiling,9,4,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0009/repetition_004,134217728,2,pdi_sub2.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0009/repetition_004/summary.txt,4668825,SUCCEEDED,2026-04-24 00:10:09,2026-04-24 00:11:40,Submitted batch job 4668825,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,60,39.9533,53.383,1.6
Gys_io Benchmark - Subfiling,2,3,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0002/repetition_003,33554432,4,pdi_sub4.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0002/repetition_003/summary.txt,4668826,SUCCEEDED,2026-04-24 00:11:40,2026-04-24 00:13:10,Submitted batch job 4668826,,0,COMPLETING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,48,24.0572,37.3113,2.66
Gys_io Benchmark - Subfiling,8,4,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0008/repetition_004,67108864,8,pdi_sub8.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0008/repetition_004/summary.txt,4668827,SUCCEEDED,2026-04-24 00:13:12,2026-04-24 00:14:43,Submitted batch job 4668827,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,64,41.782,54.9618,1.53
Gys_io Benchmark - Subfiling,19,3,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0019/repetition_003,536870912,6,pdi_sub6.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0019/repetition_003/summary.txt,4668828,SUCCEEDED,2026-04-24 00:14:43,2026-04-24 00:15:43,Submitted batch job 4668828,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,47,25.803,39.1079,2.48
Gys_io Benchmark - Subfiling,11,4,5,/beegfs/aloupoue/iops_runs/run_068,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0011/repetition_004,134217728,6,pdi_sub6.yaml,/beegfs/aloupoue/iops_runs/run_068/runs/exec_0011/repetition_004/summary.txt,4668832,SUCCEEDED,2026-04-24 00:15:43,2026-04-24 00:16:43,Submitted batch job 4668832,,0,RUNNING,COMPLETED,0:0,bora015.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,44,21.5089,35.747,2.98
