benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.nodes,vars.tasks_per_nodes,vars.ost_number,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Collective IO,3,4,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0003/repetition_004,8,16,3,pdi_ost3.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0003/repetition_004/summary.txt,4709287,SUCCEEDED,2026-05-20 17:04:33,2026-05-20 17:06:03,Submitted batch job 4709287,,0,COMPLETING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,38,17.8967,32.2032,3.58
Gys_io Benchmark - Collective IO,4,1,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0004/repetition_001,8,16,4,pdi_ost4.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0004/repetition_001/summary.txt,4709294,SUCCEEDED,2026-05-20 17:06:03,2026-05-20 17:07:03,Submitted batch job 4709294,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,35,13.4884,28.331,4.74
Gys_io Benchmark - Collective IO,8,1,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0008/repetition_001,8,16,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0008/repetition_001/summary.txt,4709295,SUCCEEDED,2026-05-20 17:07:03,2026-05-20 17:08:03,Submitted batch job 4709295,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,31,11.13,25.0971,5.75
Gys_io Benchmark - Collective IO,2,4,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0002/repetition_004,8,16,2,pdi_ost2.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0002/repetition_004/summary.txt,4709297,SUCCEEDED,2026-05-20 17:08:03,2026-05-20 17:09:33,Submitted batch job 4709297,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,44,23.1461,37.4898,2.77
Gys_io Benchmark - Collective IO,6,1,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0006/repetition_001,8,16,6,pdi_ost6.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0006/repetition_001/summary.txt,4709298,SUCCEEDED,2026-05-20 17:09:34,2026-05-20 17:10:34,Submitted batch job 4709298,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,32,10.4284,24.7393,6.14
Gys_io Benchmark - Collective IO,5,3,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0005/repetition_003,8,16,5,pdi_ost5.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0005/repetition_003/summary.txt,4709302,SUCCEEDED,2026-05-20 17:10:34,2026-05-20 17:11:34,Submitted batch job 4709302,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,30,9.45813,23.1944,6.77
Gys_io Benchmark - Collective IO,7,1,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0007/repetition_001,8,16,7,pdi_ost7.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0007/repetition_001/summary.txt,4709303,SUCCEEDED,2026-05-20 17:11:34,2026-05-20 17:12:34,Submitted batch job 4709303,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,29,8.88966,22.8592,7.2
Gys_io Benchmark - Collective IO,8,2,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0008/repetition_002,8,16,8,pdi_ost8.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0008/repetition_002/summary.txt,4709304,SUCCEEDED,2026-05-20 17:12:34,2026-05-20 17:13:35,Submitted batch job 4709304,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,29,8.81057,23.0511,7.26
Gys_io Benchmark - Collective IO,6,2,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0006/repetition_002,8,16,6,pdi_ost6.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0006/repetition_002/summary.txt,4709306,SUCCEEDED,2026-05-20 17:13:35,2026-05-20 17:14:35,Submitted batch job 4709306,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,31,10.9291,24.9123,5.86
Gys_io Benchmark - Collective IO,3,5,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0003/repetition_005,8,16,3,pdi_ost3.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0003/repetition_005/summary.txt,4709307,SUCCEEDED,2026-05-20 17:14:35,2026-05-20 17:16:05,Submitted batch job 4709307,,0,COMPLETING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,37,17.0182,30.9908,3.76
Gys_io Benchmark - Collective IO,4,2,5,/home/aloupoue/iops_run/run_029,/home/aloupoue/iops_run/run_029/runs/exec_0004/repetition_002,8,16,4,pdi_ost4.yaml,/home/aloupoue/iops_run/run_029/runs/exec_0004/repetition_002/summary.txt,4709311,SUCCEEDED,2026-05-20 17:16:05,2026-05-20 17:17:05,Submitted batch job 4709311,,0,RUNNING,COMPLETED,0:0,bora026.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,37,14.2374,29.0865,4.5
