benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.sc_suffix,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Stripe Count Study,3,4,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0003/repetition_004,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0003/repetition_004/summary.txt,4539894,SUCCEEDED,2026-03-03 15:15:20,2026-03-03 15:16:20,Submitted batch job 4539894,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,21.7861,38.2249,2568.9778003201213
Gys_io Benchmark - Stripe Count Study,4,1,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0004/repetition_001,4,pdi_sc4.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0004/repetition_001/summary.txt,4539895,SUCCEEDED,2026-03-03 15:16:20,2026-03-03 15:17:20,Submitted batch job 4539895,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,21.602,38.1009,2590.87155150237
Gys_io Benchmark - Stripe Count Study,8,1,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0008/repetition_001,8,pdi_sc8.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0008/repetition_001/summary.txt,4539896,SUCCEEDED,2026-03-03 15:17:20,2026-03-03 15:18:20,Submitted batch job 4539896,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,34,13.0581,29.3646,4286.07586521425
Gys_io Benchmark - Stripe Count Study,2,4,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0002/repetition_004,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0002/repetition_004/summary.txt,4539897,SUCCEEDED,2026-03-03 15:18:20,2026-03-03 15:19:20,Submitted batch job 4539897,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,37,16.1695,32.4968,3461.331967936807
Gys_io Benchmark - Stripe Count Study,6,1,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0006/repetition_001,6,pdi_sc6.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0006/repetition_001/summary.txt,4539898,SUCCEEDED,2026-03-03 15:19:21,2026-03-03 15:20:21,Submitted batch job 4539898,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,40,19.4821,35.9272,2872.7912933181847
Gys_io Benchmark - Stripe Count Study,5,3,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0005/repetition_003,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0005/repetition_003/summary.txt,4539902,SUCCEEDED,2026-03-03 15:20:21,2026-03-03 15:21:21,Submitted batch job 4539902,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,44,22.1586,38.8032,2525.7916680455533
Gys_io Benchmark - Stripe Count Study,7,1,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0007/repetition_001,7,pdi_sc7.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0007/repetition_001/summary.txt,4539903,SUCCEEDED,2026-03-03 15:21:21,2026-03-03 15:22:21,Submitted batch job 4539903,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,21.56,38.0746,2595.9187038754267
Gys_io Benchmark - Stripe Count Study,8,2,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0008/repetition_002,8,pdi_sc8.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0008/repetition_002/summary.txt,4539904,SUCCEEDED,2026-03-03 15:22:21,2026-03-03 15:23:21,Submitted batch job 4539904,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,34,13.433,29.8307,4166.456283447793
Gys_io Benchmark - Stripe Count Study,6,2,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0006/repetition_002,6,pdi_sc6.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0006/repetition_002/summary.txt,4539977,SUCCEEDED,2026-03-03 15:23:21,2026-03-03 15:24:22,Submitted batch job 4539977,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,45,23.8425,40.2859,2347.405148602462
Gys_io Benchmark - Stripe Count Study,3,5,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0003/repetition_005,3,pdi_sc3.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0003/repetition_005/summary.txt,4539978,SUCCEEDED,2026-03-03 15:24:22,2026-03-03 15:25:22,Submitted batch job 4539978,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,20.1018,36.4069,2784.2286390051736
Gys_io Benchmark - Stripe Count Study,4,2,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0004/repetition_002,4,pdi_sc4.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0004/repetition_002/summary.txt,4539982,SUCCEEDED,2026-03-03 15:25:22,2026-03-03 15:26:22,Submitted batch job 4539982,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,43,22.4278,38.871,2495.4746901414405
Gys_io Benchmark - Stripe Count Study,6,3,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0006/repetition_003,6,pdi_sc6.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0006/repetition_003/summary.txt,4539983,SUCCEEDED,2026-03-03 15:26:22,2026-03-03 15:27:22,Submitted batch job 4539983,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,19.9451,37.2947,2806.103115830665
Gys_io Benchmark - Stripe Count Study,2,5,5,/beegfs/aloupoue/iops_runs/run_020,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0002/repetition_005,2,pdi_sc2.yaml,/beegfs/aloupoue/iops_runs/run_020/runs/exec_0002/repetition_005/summary.txt,4539985,SUCCEEDED,2026-03-03 15:27:22,2026-03-03 15:28:23,Submitted batch job 4539985,,0,RUNNING,COMPLETED,0:0,bora033.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,19.8479,36.2545,2819.845286179102
