benchmark.name,execution.execution_id,execution.repetition,execution.repetitions,execution.workdir,execution.execution_dir,vars.sc_suffix,vars.pdi_config,vars.gys_io_output,metadata.jobid,metadata.executor_status,metadata.submission_time,metadata.end,metadata.slurm_submit_stdout,metadata.slurm_submit_stderr,metadata.submit_returncode,metadata.slurm_state_live,metadata.slurm_state,metadata.slurm_exitcode,metadata.sysinfo.hostname,metadata.sysinfo.cpu_model,metadata.sysinfo.cpu_cores,metadata.sysinfo.memory_kb,metadata.sysinfo.kernel,metadata.sysinfo.os,metadata.sysinfo.ib_devices,metadata.sysinfo.filesystems,metadata.sysinfo.duration_seconds,metrics.time_write,metrics.time_total,metrics.bandwidth
Gys_io Benchmark - Stripe Count Study,7,2,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0007/repetition_002,7,pdi_sc7.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0007/repetition_002/summary.txt,4524613,SUCCEEDED,2026-02-23 17:24:40,2026-02-23 17:26:10,Submitted batch job 4524613,,0,RUNNING,COMPLETED,0:0,bora014.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,36,18.3327,31.7431,3052.91
Gys_io Benchmark - Stripe Count Study,1,4,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0001/repetition_004,1,pdi_sc1.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0001/repetition_004/summary.txt,4524619,SUCCEEDED,2026-02-23 17:26:11,2026-02-23 17:28:11,Submitted batch job 4524619,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,64,45.3233,58.9544,1234.86
Gys_io Benchmark - Stripe Count Study,8,3,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0008/repetition_003,8,pdi_sc8.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0008/repetition_003/summary.txt,4524622,SUCCEEDED,2026-02-23 17:28:11,2026-02-23 17:30:41,Submitted batch job 4524622,,0,COMPLETING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,38,19.2356,33.5005,2909.61
Gys_io Benchmark - Stripe Count Study,8,4,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0008/repetition_004,8,pdi_sc8.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0008/repetition_004/summary.txt,4524628,SUCCEEDED,2026-02-23 17:30:41,2026-02-23 17:32:11,Submitted batch job 4524628,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,37,18.873,32.5125,2965.51
Gys_io Benchmark - Stripe Count Study,5,4,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0005/repetition_004,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0005/repetition_004/summary.txt,4524631,SUCCEEDED,2026-02-23 17:32:11,2026-02-23 17:34:12,Submitted batch job 4524631,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,42,22.282,37.0756,2511.8
Gys_io Benchmark - Stripe Count Study,8,5,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0008/repetition_005,8,pdi_sc8.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0008/repetition_005/summary.txt,4524634,SUCCEEDED,2026-02-23 17:34:12,2026-02-23 17:36:42,Submitted batch job 4524634,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,21.6817,36.6148,2581.35
Gys_io Benchmark - Stripe Count Study,1,5,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0001/repetition_005,1,pdi_sc1.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0001/repetition_005/summary.txt,4524641,SUCCEEDED,2026-02-23 17:36:42,2026-02-23 17:39:42,Submitted batch job 4524641,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,73,54.9267,68.9483,1018.96
Gys_io Benchmark - Stripe Count Study,4,3,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0004/repetition_003,4,pdi_sc4.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0004/repetition_003/summary.txt,4524644,SUCCEEDED,2026-02-23 17:39:42,2026-02-23 17:44:13,Submitted batch job 4524644,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,46,27.0048,41.0715,2072.52
Gys_io Benchmark - Stripe Count Study,6,4,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0006/repetition_004,6,pdi_sc6.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0006/repetition_004/summary.txt,4524650,SUCCEEDED,2026-02-23 17:44:13,2026-02-23 17:48:13,Submitted batch job 4524650,,0,RUNNING,COMPLETED,0:0,bora004.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,21.9846,36.6334,2545.78
Gys_io Benchmark - Stripe Count Study,4,4,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0004/repetition_004,4,pdi_sc4.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0004/repetition_004/summary.txt,4524656,SUCCEEDED,2026-02-23 17:48:13,2026-02-23 17:50:13,Submitted batch job 4524656,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,46,24.3884,38.0772,2294.86
Gys_io Benchmark - Stripe Count Study,6,5,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0006/repetition_005,6,pdi_sc6.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0006/repetition_005/summary.txt,4524663,SUCCEEDED,2026-02-23 17:50:13,2026-02-23 17:53:14,Submitted batch job 4524663,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,39,19.5891,34.3776,2857.1
Gys_io Benchmark - Stripe Count Study,4,5,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0004/repetition_005,4,pdi_sc4.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0004/repetition_005/summary.txt,4524667,SUCCEEDED,2026-02-23 17:53:14,2026-02-23 17:55:44,Submitted batch job 4524667,,0,COMPLETING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,44,24.7335,38.991,2262.84
Gys_io Benchmark - Stripe Count Study,5,5,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0005/repetition_005,5,pdi_sc5.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0005/repetition_005/summary.txt,4524674,SUCCEEDED,2026-02-23 17:55:44,2026-02-23 17:57:44,Submitted batch job 4524674,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,41,21.8358,36.2538,2563.13
Gys_io Benchmark - Stripe Count Study,7,3,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0007/repetition_003,7,pdi_sc7.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0007/repetition_003/summary.txt,4524678,SUCCEEDED,2026-02-23 17:57:44,2026-02-23 18:00:14,Submitted batch job 4524678,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,40,20.2876,34.3005,2758.73
Gys_io Benchmark - Stripe Count Study,7,4,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0007/repetition_004,7,pdi_sc7.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0007/repetition_004/summary.txt,4524687,SUCCEEDED,2026-02-23 18:00:15,2026-02-23 18:02:45,Submitted batch job 4524687,,0,RUNNING,COMPLETED,0:0,bora003.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,38,19.0876,33.8274,2932.17
Gys_io Benchmark - Stripe Count Study,7,5,5,/beegfs/aloupoue/iops_runs/run_002,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0007/repetition_005,7,pdi_sc7.yaml,/beegfs/aloupoue/iops_runs/run_002/runs/exec_0007/repetition_005/summary.txt,4524691,SUCCEEDED,2026-02-23 18:02:45,2026-02-23 18:05:15,Submitted batch job 4524691,,0,RUNNING,COMPLETED,0:0,bora002.plafrim.cluster,Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz,36,196303136,3.10.0-957.el7.x86_64,CentOS Linux 7 (Core),hfi1_0,beegfs:/beegfs,40,21.1247,34.3147,2649.41
